time,ax,ay,az,aT
0.004353,-0.0230,0.0830,-0.2330,0.248
0.004881,0.0710,0.1380,-0.1380,0.208
0.005245,0.0350,0.1570,-0.0570,0.171
0.007781,0.1710,0.1040,-0.0290,0.202
0.012857,0.2530,0.1330,0.0790,0.297
0.016639,0.2820,0.1220,0.1200,0.330
0.033589,0.2250,0.0420,0.3250,0.398
0.034085,0.2120,0.0570,-0.2050,0.300
0.034359,-0.0190,0.1940,0.0660,0.206
0.036984,-0.0720,0.1820,0.1070,0.223
0.049053,-0.1600,0.1600,0.0250,0.228
0.049457,-0.1050,0.1180,-0.0290,0.161
0.052248,-0.1610,0.0360,-0.1510,0.224
0.055867,-0.0140,0.0240,-0.2190,0.221
0.062787,-0.0320,0.1640,-0.0960,0.193
0.065537,0.0190,0.1770,-0.2730,0.326
0.071446,-0.0520,0.2320,-0.2450,0.341
0.075510,-0.0150,0.1650,-0.0280,0.168
0.080993,-0.0340,0.1320,-0.0690,0.153
0.085200,-0.0380,0.1750,0.1090,0.210
0.092125,0.0530,0.1770,-0.0810,0.202
0.095048,-0.0050,0.2070,0.2310,0.310
0.101337,-0.1380,0.1470,0.1910,0.278
0.105094,-0.1130,0.1630,0.3130,0.371
0.110498,-0.0480,0.0970,0.4490,0.462
0.115013,-0.1160,0.1800,0.4360,0.486
0.121899,-0.2130,0.0580,0.3400,0.405
0.125697,-0.1440,0.1000,0.3530,0.394
0.131033,-0.1850,0.1960,0.2310,0.355
0.134699,-0.1570,0.2100,0.2440,0.358
0.141456,-0.1380,0.1990,0.2990,0.385
0.145810,-0.1780,0.1840,0.1490,0.296
0.149311,-0.1920,0.1560,0.1630,0.296
0.155022,-0.2610,0.1420,0.1360,0.327
0.159280,-0.1860,0.0960,0.0950,0.230
0.164158,-0.2560,0.1490,0.0130,0.296
0.171308,-0.2860,0.2160,0.1630,0.394
0.174236,-0.2890,0.2290,0.1220,0.388
0.179581,-0.2010,0.1650,0.1630,0.307
0.184648,-0.2720,0.0950,0.1230,0.313
0.201168,-0.1390,0.1200,0.2050,0.275
0.201803,-0.1010,0.1190,0.1780,0.237
0.202270,-0.1010,0.0350,0.0690,0.127
0.204993,-0.0640,0.1140,0.0830,0.155
0.209662,-0.0520,0.1120,0.0420,0.130
0.213251,0.0000,0.0820,-0.1880,0.205
0.218184,-0.0940,0.0140,-0.0530,0.109
0.223919,-0.0670,0.1340,-0.0390,0.155
0.228779,-0.1640,0.0240,0.1110,0.199
0.232885,-0.1500,0.0230,-0.0260,0.154
0.238408,-0.1830,0.0330,-0.0120,0.186
0.243038,-0.2220,-0.0080,0.0420,0.226
0.249181,-0.1950,-0.0510,0.1510,0.252
0.252965,-0.1940,-0.1080,-0.1470,0.266
0.257497,-0.1860,-0.0890,-0.0670,0.217
0.263281,-0.1580,0.0580,-0.0930,0.192
0.267437,-0.2810,-0.1350,-0.2160,0.379
0.272394,-0.1460,-0.0300,-0.2560,0.296
0.277679,-0.2310,-0.0300,-0.2840,0.367
0.282543,-0.2850,-0.0600,-0.2700,0.397
0.288948,-0.2450,-0.0770,-0.3650,0.446
0.291900,-0.3130,-0.0530,-0.3520,0.474
0.297036,-0.2980,-0.0260,-0.4200,0.516
0.302446,-0.4190,-0.0420,-0.4480,0.615
0.306874,-0.3920,-0.0850,-0.5160,0.654
0.311911,-0.4600,-0.0730,-0.3250,0.568
0.316644,-0.3970,-0.2090,-0.3540,0.571
0.334415,-0.2990,-0.0590,-0.4760,0.565
0.335258,-0.3550,-0.0330,-0.2990,0.465
0.335697,-0.3420,-0.1160,-0.3400,0.496
0.336095,-0.3250,0.0560,-0.4220,0.536
0.341957,-0.2420,0.0150,-0.3400,0.418
0.345906,-0.3110,-0.0540,-0.2990,0.435
0.350988,-0.3260,0.0000,-0.2720,0.425
0.355941,-0.3360,0.0510,-0.1360,0.366
0.361187,-0.2530,0.0110,-0.3410,0.425
0.367012,-0.2280,0.0640,-0.3130,0.392
0.372009,-0.1890,0.0240,-0.2040,0.279
0.375920,-0.1320,0.0350,-0.2040,0.245
0.382156,-0.0670,-0.0050,-0.1910,0.202
0.385657,-0.0580,0.0900,-0.1360,0.173
0.390897,0.0060,0.0900,-0.1220,0.152
0.395329,0.0480,0.1620,-0.0810,0.187
0.400856,0.0970,0.2570,-0.2300,0.358
0.406411,0.0650,0.1890,-0.1750,0.266
0.410887,0.1970,0.2440,-0.2030,0.374
0.415259,0.1380,0.1930,-0.0660,0.246
0.421938,0.1460,0.3160,0.0430,0.351
0.424881,0.2240,0.3440,0.1250,0.429
0.430173,0.3440,0.3320,0.0980,0.488
0.434825,0.1890,0.2520,0.2490,0.402
0.439931,0.2270,0.2650,0.1260,0.371
0.447391,0.2790,0.3070,0.2630,0.491
0.449314,0.3450,0.2810,0.2220,0.497
0.460688,0.2660,0.2530,0.2370,0.437
0.461311,0.2340,0.3070,0.2380,0.453
0.465109,0.2310,0.4160,0.2240,0.526
0.469102,0.2420,0.3200,0.2920,0.496
0.476815,0.3240,0.3400,0.2540,0.534
0.478830,0.2370,0.3360,0.2680,0.491
0.485345,0.2480,0.4980,0.2680,0.618
0.488596,0.2460,0.4410,0.1460,0.526
0.493855,0.1620,0.5150,0.1490,0.560
0.498658,0.1310,0.5370,0.0400,0.554
0.505692,0.1150,0.4240,0.0680,0.445
0.508444,0.2360,0.5990,0.0000,0.644
0.513526,0.1380,0.4950,-0.0650,0.518
0.518639,0.2300,0.6120,-0.0910,0.660
0.524611,0.0650,0.5820,-0.0370,0.587
0.529014,0.1170,0.4300,-0.0640,0.450
0.533208,0.1430,0.4030,-0.0200,0.428
0.539089,0.0990,0.4390,0.0210,0.451
0.543659,0.0990,0.3960,0.1160,0.424
0.547786,0.1120,0.3670,0.0760,0.391
0.553092,0.1520,0.2290,0.1460,0.311
0.557530,0.0010,0.3480,0.1730,0.389
0.564345,0.0290,0.1000,0.0780,0.130
0.567591,0.0160,0.1640,-0.0170,0.166
0.572513,-0.0640,0.1890,-0.0290,0.202
0.577240,-0.0510,0.2920,-0.0830,0.308
0.583007,0.0320,0.2190,-0.2180,0.311
0.597253,-0.1300,0.2010,-0.2860,0.373
0.598140,-0.1270,0.2340,-0.3530,0.442
0.598517,-0.1000,0.3090,-0.3250,0.459
0.603464,-0.1280,0.2640,-0.3250,0.438
0.608381,-0.1700,0.1920,-0.3930,0.469
0.612202,-0.1400,0.2020,-0.2960,0.385
0.616682,-0.0730,0.2380,-0.2270,0.337
0.622478,-0.1570,0.1950,-0.2680,0.367
0.626677,-0.1460,0.1790,-0.1040,0.253
0.631768,-0.1170,0.1020,-0.2130,0.264
0.636810,-0.0520,0.1130,-0.0630,0.139
0.642756,-0.0670,0.0960,-0.1980,0.230
0.646526,-0.0690,0.0800,-0.0490,0.116
0.651789,-0.0080,-0.0140,-0.1700,0.171
0.656010,-0.1180,0.0110,-0.1840,0.219
0.661792,-0.1190,-0.1010,-0.1830,0.241
0.666256,-0.1880,-0.0620,-0.0880,0.217
0.671961,-0.1930,-0.1860,-0.0630,0.275
0.675728,-0.1380,-0.1190,-0.0490,0.189
0.682710,-0.1110,-0.1480,0.1280,0.225
0.685431,-0.1510,-0.2320,0.1420,0.311
0.691237,-0.1440,-0.1920,0.1400,0.278
0.696313,-0.1830,-0.1670,0.1400,0.285
0.701792,-0.1820,-0.2260,0.0450,0.294
0.705355,-0.1250,-0.1500,0.0180,0.196
0.711196,-0.0810,-0.2460,-0.0240,0.260
0.715363,-0.0250,-0.0610,-0.1720,0.184
0.732966,-0.1040,-0.0140,-0.2530,0.274
0.733331,-0.0490,-0.1320,-0.3480,0.375
0.733626,-0.0510,-0.1570,-0.4710,0.499
0.734581,-0.1980,-0.1120,-0.4430,0.498
0.747420,-0.2520,-0.0950,-0.5510,0.613
0.747968,-0.1420,-0.1050,-0.8770,0.895
0.749452,-0.0890,-0.0090,-0.8900,0.894
0.755712,0.0050,-0.0050,-0.9570,0.957
0.760811,-0.0890,0.0150,-1.1200,1.124
0.764319,-0.1430,0.0340,-1.0510,1.061
0.769644,-0.1520,-0.0150,-1.1180,1.128
0.774214,-0.2990,0.0080,-1.0640,1.105
0.779198,-0.4030,-0.0080,-0.9680,1.049
0.785383,-0.4800,-0.1030,-0.9420,1.062
0.789037,-0.4350,-0.2380,-0.7680,0.914
0.793846,-0.4120,-0.2620,-0.6320,0.799
0.800545,-0.3770,-0.2320,-0.6060,0.750
0.803611,-0.5190,-0.2970,-0.5250,0.796
0.808686,-0.4060,-0.2620,-0.4870,0.686
0.813702,-0.2880,-0.1880,-0.3250,0.473
0.818481,-0.2690,-0.2390,-0.1750,0.400
0.824216,-0.3740,-0.2640,-0.2300,0.512
0.828554,-0.3010,-0.2560,-0.2460,0.465
0.833212,-0.2570,-0.2240,-0.2880,0.446
0.839603,-0.3120,-0.1670,-0.1930,0.403
0.843418,-0.2990,-0.1370,-0.1380,0.357
0.848039,-0.2590,-0.2010,-0.2770,0.429
0.852914,-0.2600,-0.0320,-0.2770,0.381
0.857966,-0.1520,-0.1640,-0.2090,0.306
0.863420,-0.1000,-0.1180,-0.2500,0.294
0.867780,-0.0870,-0.0780,-0.1010,0.154
0.879217,-0.0210,-0.0990,-0.0350,0.107
0.879879,0.0990,-0.0780,0.0060,0.126
0.882428,0.2340,-0.0030,0.0190,0.235
0.887328,0.1770,-0.0830,0.0460,0.201
0.892064,0.2020,0.0880,0.2360,0.323
0.896797,0.1210,0.0690,0.2350,0.273
0.903013,0.1640,0.1860,0.2210,0.332
0.906943,0.1400,0.1470,0.3170,0.376
0.911896,0.1000,0.2490,0.3300,0.425
0.917958,0.1850,0.2150,0.4240,0.510
0.921672,0.1460,0.2080,0.4370,0.506
0.926701,0.0850,0.2550,0.4790,0.549
0.931646,0.2080,0.3400,0.4240,0.582
0.936496,0.1270,0.4120,0.4510,0.624
0.942185,0.0730,0.4970,0.2470,0.560
0.946427,0.0910,0.3560,0.2350,0.436
0.951324,0.0210,0.5460,0.1940,0.580
0.957398,0.0330,0.5750,0.1670,0.600
0.961264,-0.0230,0.5770,0.0850,0.584
0.966012,-0.0650,0.5050,-0.0080,0.509
0.971979,-0.0680,0.6250,-0.0750,0.633
0.975990,0.0910,0.5720,-0.0350,0.580
0.981954,0.1010,0.6830,-0.0880,0.696
0.986213,0.0480,0.6290,-0.1660,0.652
0.991122,0.1110,0.5990,-0.0840,0.615
0.996752,0.1900,0.6560,0.0370,0.684
